id,budget,original_title,popularity,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
74,132000000,War of the Worlds,40.457,2005-06-28,603873119,117,6.5,6763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
75,70000000,Mars Attacks!,29.994,1996-12-12,101371017,106,6.4,4419,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
76,2500000,Before Sunrise,21.968,1995-01-27,5987386,101,8.0,3098,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
77,9000000,Memento,34.41,2000-10-11,39723096,113,8.2,12056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
78,28000000,Blade Runner,32.284,1982-06-25,41670166,118,7.9,11263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
79,31000000,英雄,25.111,2002-07-22,177394432,99,7.5,1733,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
80,2700000,Before Sunset,15.393,2004-02-10,15992615,80,7.8,2582,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
81,1000000,風の谷のナウシカ,32.974,1984-03-11,3301446,117,7.9,2614,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,135000000,Miami Vice,18.951,2006-07-27,163794509,132,5.9,1341,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,130000,Open Water,34.848,2004-08-06,54667954,79,5.5,854,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
85,18000000,Raiders of the Lost Ark,37.739,1981-06-12,389925971,115,7.9,9937,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6000000,Elementarteilchen,9.654,2006-02-10,0,105,6.2,101,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
87,28000000,Indiana Jones and the Temple of Doom,36.546,1984-05-23,333000000,118,7.3,7297,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,6000000,Dirty Dancing,28.749,1987-08-21,213893795,100,7.4,5046,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
89,48000000,Indiana Jones and the Last Crusade,36.739,1989-05-24,474171806,127,7.8,8013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,14000000,Beverly Hills Cop,25.227,1984-11-30,316360478,105,7.2,3139,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,Las Hurdes,8.013,1933-12-01,0,29,7.1,108,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,Megacities,2.258,1998-08-12,0,94,7.0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2000000,Anatomy of a Murder,13.48,1959-07-01,8000000,161,7.8,698,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
94,0,Kunstgriff,0.6,2002-01-01,0,6,10.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,140000000,Armageddon,54.641,1998-07-01,553799566,151,6.8,6478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
96,28000000,Beverly Hills Cop II,18.578,1987-05-18,299965036,103,6.4,1840,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,17000000,Tron,21.885,1982-07-09,33000000,96,6.7,1710,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,103000000,Gladiator,72.335,2000-05-01,465361176,155,8.2,14897,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,8272296,Todo sobre mi madre,16.922,1999-04-16,67872296,101,7.7,1416,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,1350000,"Lock, Stock and Two Smoking Barrels",12.622,1998-08-28,28356188,105,8.2,5323,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,16000000,Léon: The Professional,43.478,1994-09-14,45284974,111,8.3,11881,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,0,Elsker dig for evigt,6.209,2002-09-06,0,113,6.9,72,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
103,1300000,Taxi Driver,45.284,1976-02-09,28570902,114,8.2,9166,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,1530000,Lola rennt,16.818,1998-03-03,7267585,81,7.3,1682,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
105,19000000,Back to the Future,71.534,1985-07-03,381109762,116,8.3,16308,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
106,15000000,Predator,63.699,1987-06-12,98267558,107,7.5,6046,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
107,10000000,Snatch,30.962,2000-09-01,83557872,104,7.8,7221,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,Trois couleurs : Bleu,14.107,1993-09-08,0,98,7.7,1209,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,0,Trois couleurs : Blanc,14.474,1994-01-26,0,92,7.5,837,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
110,0,Trois couleurs : Rouge,12.827,1994-05-27,0,100,8.0,989,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
111,25000000,Scarface,69.503,1983-12-09,66023329,170,8.2,9095,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
112,0,Italiensk for begyndere,10.823,2000-12-07,0,95,6.4,93,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
113,0,봄 여름 가을 겨울 그리고 봄,13.969,2003-09-19,8945072,103,7.8,789,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,14000000,Pretty Woman,59.77,1990-03-23,463406268,119,7.4,6288,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,15000000,The Big Lebowski,26.948,1998-03-06,46748047,117,7.9,9164,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,15000000,Match Point,17.876,2005-10-26,85306374,124,7.3,3355,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
117,25000000,The Untouchables,24.807,1987-06-03,76270454,119,7.8,4502,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
118,150000000,Charlie and the Chocolate Factory,181.423,2005-07-13,474968763,115,7.0,12352,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
