id,Genre,Count
28,Action,273
12,Adventure,231
16,Animation,38
35,Comedy,362
80,Crime,259
99,Documentary,47
18,Drama,789
10751,Family,73
14,Fantasy,128
36,History,87
27,Horror,107
10402,Music,49
9648,Mystery,126
10749,Romance,259
878,Science Fiction,151
10770,TV Movie,6
53,Thriller,351
10752,War,62
37,Western,29
